imgIndex,Detector,Descriptor,NumMatchBoxes,CameraTTC,LidarTTC,LidarDistance
16,Brisk,Orb,10,11.3491,10.3515,7.039
17,Brisk,Orb,9,9.85385,9.16182,6.963
18,Brisk,Orb,8,11.2937,8.82697,6.885
1,Brisk,Freak,6,12.3542,12.3137,8.004
2,Brisk,Freak,11,23.5276,11.6706,7.936
3,Brisk,Freak,8,13.9183,15.7721,7.886
4,Brisk,Freak,11,13.686,16.6787,7.839
5,Brisk,Freak,9,23.0537,15.5779,7.789
6,Brisk,Freak,10,14.7907,11.8831,7.724
7,Brisk,Freak,9,15.75,11.7831,7.659
8,Brisk,Freak,9,18.6756,13.5768,7.603
9,Brisk,Freak,8,15.408,14.2453,7.55
10,Brisk,Freak,9,13.8792,11.3394,7.484
11,Brisk,Freak,8,12.5201,13.0298,7.427
12,Brisk,Freak,7,11.0742,8.53605,7.341
13,Brisk,Freak,9,11.4483,9.95617,7.268
14,Brisk,Freak,8,11.2498,9.72157,7.194
15,Brisk,Freak,9,12.9132,8.16898,7.107
16,Brisk,Freak,10,10.2978,10.3515,7.039
17,Brisk,Freak,9,9.05056,9.16182,6.963
18,Brisk,Freak,8,10.4288,8.82697,6.885
1,Brisk,Sift,6,13.0059,12.3137,8.004
2,Brisk,Sift,11,15.8751,11.6706,7.936
3,Brisk,Sift,8,15.3895,15.7721,7.886
4,Brisk,Sift,11,12.6121,16.6787,7.839
5,Brisk,Sift,9,26.4305,15.5779,7.789
6,Brisk,Sift,10,12.3286,11.8831,7.724
7,Brisk,Sift,9,13.2586,11.7831,7.659
8,Brisk,Sift,9,16.1681,13.5768,7.603
9,Brisk,Sift,8,15.9179,14.2453,7.55
10,Brisk,Sift,9,15.3337,11.3394,7.484
11,Brisk,Sift,8,13.6053,13.0298,7.427
12,Brisk,Sift,7,11.5191,8.53605,7.341
13,Brisk,Sift,9,12.7782,9.95617,7.268
14,Brisk,Sift,8,10.5343,9.72157,7.194
15,Brisk,Sift,9,13.9285,8.16898,7.107
16,Brisk,Sift,10,11.0861,10.3515,7.039
17,Brisk,Sift,9,9.68446,9.16182,6.963
18,Brisk,Sift,8,12.07,8.82697,6.885
1,Orb,Brisk,6,14.9301,12.3137,8.004
2,Orb,Brisk,11,13.599,11.6706,7.936
3,Orb,Brisk,8,12.0957,15.7721,7.886
4,Orb,Brisk,11,30.1703,16.6787,7.839
5,Orb,Brisk,9,94.009,15.5779,7.789
6,Orb,Brisk,10,10.7966,11.8831,7.724
7,Orb,Brisk,9,13.2572,11.7831,7.659
8,Orb,Brisk,9,10.8951,13.5768,7.603
9,Orb,Brisk,8,13.0837,14.2453,7.55
10,Orb,Brisk,9,19.6544,11.3394,7.484
11,Orb,Brisk,8,7.80056,13.0298,7.427
12,Orb,Brisk,7,-inf,8.53605,7.341
13,Orb,Brisk,9,7.45405,9.95617,7.268
14,Orb,Brisk,8,9.52775,9.72157,7.194
15,Orb,Brisk,9,8.69652,8.16898,7.107
16,Orb,Brisk,10,13.2646,10.3515,7.039
17,Orb,Brisk,9,12.4886,9.16182,6.963
18,Orb,Brisk,8,27.7089,8.82697,6.885
1,Orb,Brief,6,nan,12.3137,8.004
2,Orb,Brief,11,47.4248,11.6706,7.936
3,Orb,Brief,8,92.8179,15.7721,7.886
4,Orb,Brief,11,14.4272,16.6787,7.839
5,Orb,Brief,9,25.4852,15.5779,7.789
6,Orb,Brief,10,15.1309,11.8831,7.724
7,Orb,Brief,9,224.493,11.7831,7.659
8,Orb,Brief,9,nan,13.5768,7.603
9,Orb,Brief,8,nan,14.2453,7.55
10,Orb,Brief,9,23.5366,11.3394,7.484
11,Orb,Brief,8,17.8506,13.0298,7.427
12,Orb,Brief,7,16.2227,8.53605,7.341
13,Orb,Brief,9,12.946,9.95617,7.268
14,Orb,Brief,8,9.88356,9.72157,7.194
15,Orb,Brief,9,8.94125,8.16898,7.107
16,Orb,Brief,10,10.9804,10.3515,7.039
17,Orb,Brief,9,14.3683,9.16182,6.963
18,Orb,Brief,8,21.9022,8.82697,6.885
1,Orb,Orb,6,120.341,12.3137,8.004
2,Orb,Orb,11,10.6654,11.6706,7.936
3,Orb,Orb,8,17.5611,15.7721,7.886
4,Orb,Orb,11,21.9072,16.6787,7.839
5,Orb,Orb,9,29.6544,15.5779,7.789
6,Orb,Orb,10,18.2399,11.8831,7.724
7,Orb,Orb,9,214.117,11.7831,7.659
8,Orb,Orb,9,9.18716,13.5768,7.603
9,Orb,Orb,8,17.765,14.2453,7.55
10,Orb,Orb,9,23.6161,11.3394,7.484
11,Orb,Orb,8,8.28796,13.0298,7.427
12,Orb,Orb,7,nan,8.53605,7.341
13,Orb,Orb,9,9.87101,9.95617,7.268
14,Orb,Orb,8,9.52775,9.72157,7.194
15,Orb,Orb,9,12.7918,8.16898,7.107
16,Orb,Orb,10,11.5054,10.3515,7.039
17,Orb,Orb,9,11.4577,9.16182,6.963
18,Orb,Orb,8,27.5113,8.82697,6.885
1,Orb,Freak,6,12.2074,12.3137,8.004
2,Orb,Freak,11,20.1206,11.6706,7.936
3,Orb,Freak,8,11.6135,15.7721,7.886
